Address,Reward Address1,Reward Address2,Commonwealth Report link,Github issue,Timestamp,Allocation
0x519c1b0296cfc19c97b8a15807db7e56d48cc6c0,0xd03fdaf0afe4bcbb8ddedda54eb7d152b3d2fd8b,,https://commonwealth.im/layerzero/discussion/18927,issue #34,2024-05-18 02:00:32+00:00,1.4728748426
0xf2f0d48b822d1d3ace0422a0310e94c9fc266f52,0x4d529b27a462e3db63c414c5c5111405099c42b4,,https://commonwealth.im/layerzero/discussion/21956,,2024-05-29 08:38:39+00:00,1.4729410252
0xb8e0105b94c8f09212f503cc7c53d7b241942bbd,0xd6b8362638de3913c39939398ee84273f0ad2ece,,https://commonwealth.im/layerzero/discussion/17884,,2024-05-28 00:59:09+00:00,1.4730193897
0x381beeb1e39c6f41d09a1dc08ccd4912ee7309fc,0x232558012ffded17ffb916e409750b7a938ab397,,https://commonwealth.im/layerzero/discussion/22601,,2024-05-29 21:02:01+00:00,1.4730370854
0xb99a752f4182e1e4db35ab51db1c8444f4fb481e,0x232558012ffded17ffb916e409750b7a938ab397,,https://commonwealth.im/layerzero/discussion/22601,,2024-05-29 21:02:01+00:00,1.4731612207
0x9c2acea557ef4bce9180f3512a10134877aec633,0xef24bc71dc2fb9834d56fbe3950cf73516bfb5a9,,https://commonwealth.im/layerzero/discussion/21589,,2024-05-28 17:00:51+00:00,1.4734143282
0x275a4600d523f750cfe08ae1351e2b711f39ab8c,0x0a009ef3727edacb597eaffe89851beee9901359,,https://commonwealth.im/layerzero/discussion/21263,,2024-05-28 15:33:38+00:00,1.4734722196
0xb65454afdfb97b28a0cce9de9f0fab06948bac64,0x5b6a25010a1740179efd8756bbabc8131d73a4cb,,https://commonwealth.im/layerzero/discussion/18718,,2024-05-28 04:45:47+00:00,1.473499197
0xd48d6461615dacde7f892892dc029ea83d3d4f2d,0xd6b8362638de3913c39939398ee84273f0ad2ece,,https://commonwealth.im/layerzero/discussion/17884,,2024-05-28 00:59:09+00:00,1.4735575045
0xaad6af652e3bd56f60b7adf31ebc72ee239bca0b,0xef24bc71dc2fb9834d56fbe3950cf73516bfb5a9,,https://commonwealth.im/layerzero/discussion/21589,,2024-05-28 17:00:51+00:00,1.4737819073000002
0x19bfa1e99a3376398700eb44400ed703f5374e6d,0xd6b8362638de3913c39939398ee84273f0ad2ece,,https://commonwealth.im/layerzero/discussion/17884,,2024-05-28 00:59:09+00:00,1.4740352099000005
0x05f0a3a351713d5646a8147ac6cedb35141645ca,0xec554c6a97fa5e19b844de93e1bc127931400dd3,,https://commonwealth.im/layerzero/discussion/17856,,2024-05-28 00:50:37+00:00,1.4741604908
0x63e77af3da815faf3740eee6ae4bccbab1ef5e86,0xec554c6a97fa5e19b844de93e1bc127931400dd3,,https://commonwealth.im/layerzero/discussion/17856,,2024-05-28 00:50:37+00:00,1.4742617288000002
0xa8220e3f8f2537d2c3c4db3922ab83e0ddb34c60,0x000002f8611c59a4d3ee714ad579171c55b00d34,,https://commonwealth.im/layerzero/discussion/20021,,2024-05-28 09:31:32+00:00,1.4742698014000002
